Posted Date,Job Title,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-10-20 17:49:55.599354,Kỹ sư hệ thống (System Engineer / System Administrator),System Engineer,Linux,System Admin,Viettel Post (A Member of Viettel Group),At office,Ha Noi,IT Product,"Transportation, Logistics and Warehouse",1000+,Vietnam,Monday - Friday,
2024-10-20 16:49:55.599354,Senior/Lead Java Engineer,Java,Spring,Cloud,NAB Innovation Centre Vietnam,Hybrid,Ho Chi Minh,IT Product,Banking,1000+,Australia,Monday - Friday,No OT
2024-10-20 16:49:55.599354,SAP Functional Consultant,SAP,System Engineer,English,FPT Software,At office,Ha Noi - Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam,Monday - Friday,Extra salary for OT
2024-10-20 15:49:55.599354,Senior Data Engineer,Data Analyst,SQL,Cloud,Creative Force,At office,Ha Noi,IT Product,Software Products and Web Services,51-150,Denmark,Monday - Friday,No OT
2024-10-20 13:49:55.599354,Devops/SRE engineer,Cloud,AWS,NULL,Castalk,At office,Ha Noi,IT Product,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-20 13:49:55.599354,"3D Modeler (Maya, Game)",Games,JavaScript,English,Công ty TNHH Thankslab Việt Nam,At office,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Japan,Monday - Friday,No OT
2024-10-20 13:49:55.599354,Salesforce Developer,Salesforce,English,Cloud,SECUTIX,Hybrid,Ho Chi Minh,IT Product,N/A,51-150,Switzerland,Monday - Friday,No OT
2024-10-20 10:49:55.599354,"Senior SAP Project Manager (ABAP, English)",Project Manager,SAP,ABAP,"METANET VINA CO., LTD",At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,1-50,South Korea,Monday - Friday,No OT
2024-10-20 09:49:55.599354,Chuyên viên triển khai phần mềm (ERP),ERP,Python,Java,Avenue,At office,Others,IT Service and IT Consulting,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,Extra salary for OT
2024-10-19 20:49:55.599354,"System Network Specialist (AWS, Cloud)",Networking,System Engineer,AWS,TymeX,At office,Ho Chi Minh,IT Product,Banking,301-500,Singapore,Monday - Friday,No OT
2024-10-19 20:49:55.599354,Manager/Expert IT Business Analyst,Business Analyst,SQL,Manager,Techcombank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-19 20:49:55.599354,[Da Nang] Bridge System Engineer (Japanese speaking),Japanese,Bridge Engineer,NULL,Pasona Tech Việt Nam,At office,Da Nang,IT Outsourcing,Staffing and Recruiting,151-300,Japan,Monday - Friday,No OT
2024-10-19 20:49:55.599354,DevOps Engineer,DevOps,Cloud,NULL,Brighton Investment,Hybrid,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,No OT
2024-10-19 20:49:55.599354,Senior Data Engineer,Java,Kotlin,Linux,Picket Homes,Hybrid,Ha Noi,IT Product,"Real Estate, Property and Construction",151-300,United States,Monday - Friday,No OT
2024-10-19 20:49:55.599354,"Embedded Engineer (Security, C language, English)",Embedded C,English,C language,Bosch Global Software Technologies Company Limited,At office,Ho Chi Minh - Ha Noi,IT Product,IT Services and IT Consulting,1000+,Germany,Monday - Friday,No OT
2024-10-19 20:49:55.599354,Senior Live Ops Manager (Data Analyst/ Games),Manager,Data Analyst,Games,Mirai Labs,At office,Ho Chi Minh - Ha Noi,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam,Monday - Friday,Extra salary for OT
2024-10-19 20:49:55.599354,Information Security Specialist,Security,System Engineer,DevSecOps,VPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Saturday,No OT
2024-10-19 20:49:55.599354,Product Owner,Product Owner,Data Analyst,Team Leader,VPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Saturday,No OT
2024-10-19 20:49:55.599354,"[Joining Bonus] Sr. Firmware Engineer (C/C++, Embedded)",C language,English,Embedded,Bosch Global Software Technologies Company Limited,At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,1000+,Germany,Monday - Friday,No OT
2024-10-19 20:49:55.599354,Senior Java Developer (English Required) - Up to 3200$,Java,SQL,Spring,"Rakuten Fintech Vietnam Co., Ltd.",At office,Ho Chi Minh,IT Product,Financial Services,51-150,Japan,Monday - Friday,No OT
2024-10-19 20:49:55.599354,Cyber Security Engineer,Security,System Engineer,IT Support,Endava Việt Nam,Hybrid,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1000+,United Kingdom,Monday - Friday,No OT
2024-10-19 20:49:55.599354,"Senior Java Developer (JLPT N2, Sign-on Bonus)",Java,Japanese,Bridge Engineer,NEC Vietnam,Hybrid,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,151-300,Japan,Monday - Friday,Extra salary for OT
2024-10-19 20:49:55.599354,Engineering Team Lead (.NET),.NET,English,Team Leader,HRS Group,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Germany,Monday - Friday,No OT
2024-10-19 20:49:55.599354,Mid Java (Sping) Developer,Java,Database,Spring,IVC (ISB Vietnam),At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,151-300,Japan,Monday - Friday,
2024-10-19 20:49:55.599354,[Hybrid] Senior QA Tester,Tester,Japanese,QA QC,Keizu Vietnam,Hybrid,Ho Chi Minh,IT Outsourcing,N/A,1-50,Japan,Monday - Friday,Extra salary for OT
2024-10-19 20:49:55.599354,[Hybrid] Senior Salesforce Developer (Cloud),Salesforce,System Engineer,Cloud,Keizu Vietnam,Hybrid,Ho Chi Minh,IT Outsourcing,N/A,1-50,Japan,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,Junior Game Engineer,Unity,English,Games,PLAYSTUDIOS,Hybrid,Ha Noi,IT Product,Game,151-300,United States,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Backend Developer,NodeJS,JavaScript,Linux,NEXON DEV VINA,At office,Ho Chi Minh,IT Product,Game,51-150,South Korea,Monday - Friday,Extra salary for OT
