Posted Date,Job Title,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-10-20 09:49:55.599354,Chuyên viên triển khai phần mềm (ERP),ERP,Python,Java,Avenue,At office,Others,IT Service and IT Consulting,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,Extra salary for OT
2024-10-19 20:49:55.599354,Senior Live Ops Manager (Data Analyst/ Games),Manager,Data Analyst,Games,Mirai Labs,At office,Ho Chi Minh - Ha Noi,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam,Monday - Friday,Extra salary for OT
2024-10-19 20:49:55.599354,Product Owner,Product Owner,Data Analyst,Team Leader,VPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Saturday,No OT
2024-10-18 20:49:55.599354,"Data Engineer - Hybrid working (Oracle, P/L SQL, T SQL)",Database,SQL,Oracle,SHBFinance,Hybrid,Ha Noi,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,No OT
2024-10-18 20:49:55.599354,CV Kiểm toán nội bộ CNTT (IT Audit),Security,Database,SQL,VCBS,At office,Ha Noi,IT Product,Financial Services,301-500,Vietnam,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,"Quản Lý Thông Tin Nhân Sự (SQL, Data Analyst, Power BI)",SQL,Database,Data Analyst,Vietnam International Bank (VIB),At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-10-18 20:49:55.599354,"Senior Officer, Business Itelligence",Data Analyst,Python,Agile,Techcombank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,IT - AI Solutions Architect,Solution Architect,Python,C#,Ngân Hàng Á Châu | ACB,At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Data Governance Expert,Business Intelligence,English,,VinFast,At office,Ha Noi,IT Product,"Transportation, Logistics and Warehouse",301-500,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Software Development - Integration Technology (ESB),Database,AWS,Linux,FE CREDIT,At office,Ho Chi Minh,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Business Analyst - CRM,Business Analyst,Data Analyst,,DNSE,At office,Ha Noi,IT Product,Financial Services,151-300,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,CG Nghiên cứu và phát triển nền tảng (Devops/AI/ML),DevOps,Cloud,DevSecOps,Ngân hàng TMCP Lộc Phát Việt Nam LPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,Chuyên viên/ Chuyên viên cao cấp Quản trị CSDL,Database,Oracle,AWS,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-16 20:49:55.599354,"System Engineer (Linux, Database, MySQL)",System Engineer,Database,Linux,South Telecom,At office,Ha Noi,IT Product,Telecommunication,51-150,Vietnam,Monday - Friday,
2024-10-16 20:49:55.599354,Java Developer (ALL LEVEL),Java,Database,Spring,MB Ageas Life,At office,Ha Noi,IT Product,Financial Services,501-1000,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,Chuyên Gia Phân Tích và Hoạch Định Dữ Liệu,Database,Data Analyst,,Techcombank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,Quản trị cơ sở dữ liệu DBA (Database/Oracle /Linux),Oracle,Database,Linux,VNPT Net Corporation,At office,Ha Noi,IT Product,Telecommunication,1000+,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,Kỹ sư dữ liệu (Data Engineer/ Python/Java/ Database),Java,Python,Database,VNPT Net Corporation,At office,Ha Noi,IT Product,Telecommunication,1000+,Vietnam,Monday - Friday,No OT
2024-10-15 20:49:55.599354,"Oracle Database Admin (System Admin, Technical Support)",Oracle,Database,Linux,Công ty Cổ phần Chứng khoán KIS Việt Nam,At office,Ho Chi Minh,IT Product,Financial Services,151-300,Vietnam,Monday - Friday,No OT
2024-10-14 20:49:55.599354,"Data Engineering (Python, SQL, Oracle)",Python,SQL,Oracle,HDBank,At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-14 20:49:55.599354,AI Engineer ( Python/ Scala/ Django/ Java ) - Khối CNTT,Python,Django,Java,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-11 20:49:55.599354,"Chuyên viên quản trị, vận hành cơ sở dữ liệu (DBA)",Database,SQL,Oracle,VRB,At office,Ha Noi,Non-IT,Banking,501-1000,Vietnam,Monday - Friday,
2024-10-11 20:49:55.599354,Senior Backend Engineer (Python/Django/Database/Agile),Python,Database,Django,Zien Solutions,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-11 20:49:55.599354,Senior Software Engineer (Generative AI),Python,Agile,Software Architect,Zien Solutions,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-10 20:49:55.599354,CV quản lý và phát triển sản phẩm App MBBank -PO Retail,Product Owner,Agile,Business Analyst,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-08 20:49:55.599354,Data Scientist/Machine Learning Engineer,Python,Java,,M_Service (MoMo),At office,Ho Chi Minh,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,Extra days off for OT
2024-10-08 20:49:55.599354,"Fr/Junior Blockchain Developer (Python, JavaScript, Go)",Blockchain,Python,JavaScript,Công ty TNHH Công nghệ RBX,At office,Ha Noi,IT Product,"AI, Blockchain and Deep Tech Services",1-50,Vietnam,Monday - Friday,No OT
2024-10-19 20:49:55.599354,"Ruby On Rails Developer (PostgreSQL, Agile)",Ruby on Rails,Agile,PostgreSql,EMTEK ELECTRIC AUTOMOBILE TECHNOLOGY DEVELOPMENT,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-15 20:49:55.599354,"Senior Data Operator - TA099 (Cloud, Database, Python)",Cloud,Python,Database,VPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Saturday,No OT
2024-10-15 20:49:55.599354,CV Quản lý Hạ tầng Trung tâm dữ liệu (System Admin),Database,System Engineer,System Admin,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-14 20:49:55.599354,Business Analyst (SQL),Business Analyst,SQL,Data Analyst,Công ty Cổ phần MercTrans,At office,Ha Noi,IT Outsourcing,Software Development Outsourcing,1-50,Vietnam,Monday - Friday,No OT
2024-10-13 20:49:55.599354,Data Platform Engineer (Python/Java/Cloud)-K. Dữ Liệu,Java,Python,Cloud,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-12 20:49:55.599354,"Machine Learning Explorer (Python, SQL, Database)",Python,Database,SQL,MediaX,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-12 20:49:55.599354,Senior Data Analyst,SQL,Python,Database,One Mount Group,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam,Monday - Saturday,No OT
2024-10-12 20:49:55.599354,Data Scientist (Computer Vision),Computer Vision,Python,Linux,Cartrack,At office,Ho Chi Minh,IT Product,"Transportation, Logistics and Warehouse",1-50,Vietnam,Monday - Friday,No OT
2024-10-11 20:49:55.599354,[Lâm Đồng] Chuyên viên Data Trang trại,Data Analyst,Database,,TH Group,At office,Others,IT Product,Manufacturing and Engineering,301-500,Vietnam,Monday - Friday,
