Posted Date,Job Title,Skill,Company,Workplace,Company Type,Company Industry,Company Size,Country
2024-10-20 17:49:55.599354,Kỹ sư hệ thống (System Engineer / System Administrator),System Engineer,Viettel Post (A Member of Viettel Group),At office,IT Product,"Transportation, Logistics and Warehouse",1000+,Vietnam
2024-10-20 16:49:55.599354,Senior/Lead Java Engineer,Java,NAB Innovation Centre Vietnam,Hybrid,IT Product,Banking,1000+,Australia
2024-10-20 16:49:55.599354,SAP Functional Consultant,SAP,FPT Software,At office,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam
2024-10-20 15:49:55.599354,Senior Data Engineer,Data Analyst,Creative Force,At office,IT Product,Software Products and Web Services,51-150,Denmark
2024-10-20 13:49:55.599354,Devops/SRE engineer,Cloud,Castalk,At office,IT Product,IT Services and IT Consulting,1-50,Vietnam
2024-10-20 13:49:55.599354,"3D Modeler (Maya, Game)",Games,Công ty TNHH Thankslab Việt Nam,At office,IT Product,Software Products and Web Services,51-150,Japan
2024-10-20 13:49:55.599354,Salesforce Developer,Salesforce,SECUTIX,Hybrid,IT Product,N/A,51-150,Switzerland
2024-10-20 10:49:55.599354,"Senior SAP Project Manager (ABAP, English)",Project Manager,"METANET VINA CO., LTD",At office,IT Service and IT Consulting,IT Services and IT Consulting,1-50,South Korea
2024-10-20 09:49:55.599354,Chuyên viên triển khai phần mềm (ERP),ERP,Avenue,At office,IT Service and IT Consulting,IT Services and IT Consulting,51-150,Vietnam
2024-10-19 20:49:55.599354,"System Network Specialist (AWS, Cloud)",Networking,TymeX,At office,IT Product,Banking,301-500,Singapore
2024-10-19 20:49:55.599354,Manager/Expert IT Business Analyst,Business Analyst,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-10-19 20:49:55.599354,[Da Nang] Bridge System Engineer (Japanese speaking),Japanese,Pasona Tech Việt Nam,At office,IT Outsourcing,Staffing and Recruiting,151-300,Japan
2024-10-19 20:49:55.599354,DevOps Engineer,DevOps,Brighton Investment,Hybrid,IT Service and IT Consulting,IT Services and IT Consulting,51-150,Vietnam
2024-10-19 20:49:55.599354,Senior Data Engineer,Java,Picket Homes,Hybrid,IT Product,"Real Estate, Property and Construction",151-300,United States
2024-10-19 20:49:55.599354,"Embedded Engineer (Security, C language, English)",Embedded C,Bosch Global Software Technologies Company Limited,At office,IT Product,IT Services and IT Consulting,1000+,Germany
2024-10-19 20:49:55.599354,Senior Live Ops Manager (Data Analyst/ Games),Manager,Mirai Labs,At office,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam
2024-10-19 20:49:55.599354,Information Security Specialist,Security,VPBank,At office,IT Product,Banking,1000+,Vietnam
2024-10-19 20:49:55.599354,Product Owner,Product Owner,VPBank,At office,IT Product,Banking,1000+,Vietnam
